stadiums,capacity,region,country,city,original_stadium_name,location,lat,lon
Lucas Oil Stadium,67000,North America,United States,Indianapolis - Indiana,Lucas Oil Stadium,"[39.7590621, -86.1638376]",39.7590621,-86.1638376
MorumBIS,66975,South America,Brazil,São Paulo - São Paulo,MorumBIS,"[-23.6001016, -46.7201264]",-23.6001016,-46.7201264
The Dome,66965,North America,United States,St. Louis,The Dome,"[42.7786911, -73.1701063]",42.7786911,-73.1701063
Yadegar-e-Emam Stadium,66833,West Asia,Iran,Tabriz,Yadegar-e-Emam Stadium,"[38.0738612, 46.2978789]",38.0738612,46.2978789
Seoul World Cup Stadium,66704,East Asia,South Korea,Seoul,Seoul World Cup Stadium,"[37.5683021, 126.8972477]",37.5683021,126.8972477
US Bank Stadium,66655,North America,United States,Minneapolis,US Bank Stadium,"[44.9736154, -93.2574663]",44.9736154,-93.2574663
Daegu Stadium,66422,East Asia,South Korea,Daegu,Daegu Stadium,"[35.8297517, 128.6901254]",35.8297517,128.6901254
Workers' Stadium,66161,East Asia,China,Beijing,Workers' Stadium,"[39.9323548, 116.4442038]",39.9323548,116.4442038
London Stadium,66000,Europe,England,London,London Stadium,"[51.5386206, -0.0166238]",51.5386206,-0.0166238
Raymond James Stadium,65847,North America,United States,Tampa - Florida,Raymond James Stadium,"[27.9759793, -82.5033545]",27.9759793,-82.5033545
Hard Rock Stadium,65326,North America,United States,Miami Gardens - Florida,Hard Rock Stadium,"[25.9579031, -80.2388497]",25.9579031,-80.2388497
Olympic Stadium,65255,North America,Canada,Montreal - Quebec,Olympic Stadium,"[45.5577983, -73.5516458]",45.5577983,-73.5516458
Basra International Stadium,65227,West Asia,Iraq,Basra,Basra International Stadium,"[30.4399273, 47.7798634]",30.4399273,47.7798634
Camping World Stadium,65000,North America,United States,Orlando - Florida,Camping World Stadium,"[28.5390623, -81.4027486]",28.5390623,-81.4027486
Alamodome,65000,North America,United States,San Antonio,Alamodome,"[29.4168923, -98.4788949]",29.4168923,-98.4788949
Ford Field,65000,North America,United States,Detroit,Ford Field,"[42.3399567, -83.0456166]",42.3399567,-83.0456166
Stade Ibn Battuta,65000,Africa,Morocco,Tangier,Stade Ibn Battuta,"[35.7412689, -5.8580825]",35.7412689,-5.8580825
Estádio do Sport Lisboa e Benfica,64642,Europe,Portugal,Lisbon,Estádio do Sport Lisboa e Benfica,"[38.7526893, -9.1846899]",38.7526893,-9.1846899
Stade du 5 Juillet,64200,Africa,Algeria,Algiers,Stade du 5 Juillet,"[36.7595143, 2.9952724]",36.7595143,2.9952724
Castelão,63903,South America,Brazil,Fortaleza - Ceará,Castelão,"[-3.806742, -38.5216794]",-3.806742,-38.5216794
Saitama Stadium 2002,63700,East Asia,Japan,Saitama,Saitama Stadium 2002,"[35.90308, 139.7168256]",35.90308,139.7168256
Ellis Park Stadium,62567,Africa,South Africa,Johannesburg - Gauteng,Ellis Park Stadium,"[-26.1974789, 28.0607682]",-26.1974789,28.0607682
Tottenham Hotspur Stadium,62303,Europe,England,London,Tottenham Hotspur Stadium,"[51.604157, -0.0662604]",51.604157,-0.0662604
VELTINS-Arena,62271,Europe,Germany,Gelsenkirchen,VELTINS-Arena,"[51.5545938, 7.0676001]",51.5545938,7.0676001
Yizhong Sports Centre Stadium,62000,East Asia,China,Qingdao,Yizhong Sports Centre Stadium,"[36.0663249, 120.3777659]",36.0663249,120.3777659
Estádio Governador Magalhães Pinto,61846,South America,Brazil,Belo Horizonte - Minas Gerais,Estádio Governador Magalhães Pinto,"[-19.8659115, -43.9710434]",-19.8659115,-43.9710434
King Fahd International Stadium,61781,West Asia,Saudi Arabia,Riyadh,King Fahd International Stadium,"[24.7885806, 46.8391449]",24.7885806,46.8391449
Soldier Field,61500,North America,United States,Chicago,Soldier Field,"[41.8624515, -87.6167151]",41.8624515,-87.6167151
Nanjing Olympic Sports Centre Stadium,61443,East Asia,China,Nanjing,Nanjing Olympic Sports Centre Stadium,"[32.0106825, 118.7197543]",32.0106825,118.7197543
Anfield,61276,Europe,England,Liverpool - England,Anfield,"[53.4309164, -2.9609314]",53.4309164,-2.9609314
